Channel Title,Channel Username,ID,Message,Date,Media Path
lobelia pharmacy and cosmetics,@lobelia4cosmetics,12411,"eucerin pigment control 
price 4500 birr 
telegram https://t.me/lobelia4cosmetics
msg👉 lobelia pharmacy and cosmetics 
☎️ call 0911562031/0911587703
adress:- infront of bole medhanialem high school 
open monday - monday from 8am until midnight ከሰኞ - እስከ ሰኞ  ከጧቱ 2:00 ስዓት - እስከ ምሽቱ 6:00 ሰዓት
🏍🏍🏍 የትራንስፖርት አማራጭ ከ70 - 200 ብር
for delivery option fees are from 70 birr - 200 birr",2024-10-10 14:47:05+00:00,photos\@lobelia4cosmetics_12411.jpg
lobelia pharmacy and cosmetics,@lobelia4cosmetics,12410,"eucerin oil control 
price 4500 birr 
telegram https://t.me/lobelia4cosmetics
msg👉 lobelia pharmacy and cosmetics 
☎️ call 0911562031/0911587703
adress:- infront of bole medhanialem high school 
open monday - monday from 8am until midnight ከሰኞ - እስከ ሰኞ  ከጧቱ 2:00 ስዓት - እስከ ምሽቱ 6:00 ሰዓት
🏍🏍🏍 የትራንስፖርት አማራጭ ከ70 - 200 ብር
for delivery option fees are from 70 birr - 200 birr",2024-10-10 14:47:05+00:00,photos\@lobelia4cosmetics_12410.jpg
lobelia pharmacy and cosmetics,@lobelia4cosmetics,12409,"neutrogena rapid tone repair 
price 3000 birr 
telegram https://t.me/lobelia4cosmetics
msg👉 lobelia pharmacy and cosmetics 
☎️ call 0911562031/0911587703
adress:- infront of bole medhanialem high school 
open monday - monday from 8am until midnight ከሰኞ - እስከ ሰኞ  ከጧቱ 2:00 ስዓት - እስከ ምሽቱ 6:00 ሰዓት
🏍🏍🏍 የትራንስፖርት አማራጭ ከ70 - 200 ብር
for delivery option fees are from 70 birr - 200 birr",2024-10-10 14:47:05+00:00,photos\@lobelia4cosmetics_12409.jpg
lobelia pharmacy and cosmetics,@lobelia4cosmetics,12408,"neutrogena invisible daily  defense 
price 3500 birr 
telegram https://t.me/lobelia4cosmetics
msg👉 lobelia pharmacy and cosmetics 
☎️ call 0911562031/0911587703
adress:- infront of bole medhanialem high school 
open monday - monday from 8am until midnight ከሰኞ - እስከ ሰኞ  ከጧቱ 2:00 ስዓት - እስከ ምሽቱ 6:00 ሰዓት
🏍🏍🏍 የትራንስፖርት አማራጭ ከ70 - 200 ብር
for delivery option fees are from 70 birr - 200 birr",2024-10-10 14:47:05+00:00,photos\@lobelia4cosmetics_12408.jpg
lobelia pharmacy and cosmetics,@lobelia4cosmetics,12407,"neutrogena retinol spf 30
price 4500 birr 
telegram https://t.me/lobelia4cosmetics
msg👉 lobelia pharmacy and cosmetics 
☎️ call 0911562031/0911587703
adress:- infront of bole medhanialem high school 
open monday - monday from 8am until midnight ከሰኞ - እስከ ሰኞ  ከጧቱ 2:00 ስዓት - እስከ ምሽቱ 6:00 ሰዓት
🏍🏍🏍 የትራንስፖርት አማራጭ ከ70 - 200 ብር
for delivery option fees are from 70 birr - 200 birr",2024-10-10 14:47:05+00:00,photos\@lobelia4cosmetics_12407.jpg
lobelia pharmacy and cosmetics,@lobelia4cosmetics,12406,"neutrogena niacinamide serum 5500
price 5000 birr 
telegram https://t.me/lobelia4cosmetics
msg👉 lobelia pharmacy and cosmetics 
☎️ call 0911562031/0911587703
adress:- infront of bole medhanialem high school 
open monday - monday from 8am until midnight ከሰኞ - እስከ ሰኞ  ከጧቱ 2:00 ስዓት - እስከ ምሽቱ 6:00 ሰዓት
🏍🏍🏍 የትራንስፖርት አማራጭ ከ70 - 200 ብር
for delivery option fees are from 70 birr - 200 birr",2024-10-10 14:47:05+00:00,photos\@lobelia4cosmetics_12406.jpg
lobelia pharmacy and cosmetics,@lobelia4cosmetics,12405,"olay complete moisturizer 
price 4000 birr 
telegram https://t.me/lobelia4cosmetics
msg👉 lobelia pharmacy and cosmetics 
☎️ call 0911562031/0911587703
adress:- infront of bole medhanialem high school 
open monday - monday from 8am until midnight ከሰኞ - እስከ ሰኞ  ከጧቱ 2:00 ስዓት - እስከ ምሽቱ 6:00 ሰዓት
🏍🏍🏍 የትራንስፖርት አማራጭ ከ70 - 200 ብር
for delivery option fees are from 70 birr - 200 birr",2024-10-10 14:47:05+00:00,photos\@lobelia4cosmetics_12405.jpg
lobelia pharmacy and cosmetics,@lobelia4cosmetics,12404,"laroche bright reveal 
price 4500 birr 
telegram https://t.me/lobelia4cosmetics
msg👉 lobelia pharmacy and cosmetics 
☎️ call 0911562031/0911587703
adress:- infront of bole medhanialem high school 
open monday - monday from 8am until midnight ከሰኞ - እስከ ሰኞ  ከጧቱ 2:00 ስዓት - እስከ ምሽቱ 6:00 ሰዓት
🏍🏍🏍 የትራንስፖርት አማራጭ ከ70 - 200 ብር
for delivery option fees are from 70 birr - 200 birr",2024-10-10 14:47:05+00:00,photos\@lobelia4cosmetics_12404.jpg
lobelia pharmacy and cosmetics,@lobelia4cosmetics,12403,"loreal collagen cream 
price 4000 birr 
telegram https://t.me/lobelia4cosmetics
msg👉 lobelia pharmacy and cosmetics 
☎️ call 0911562031/0911587703
adress:- infront of bole medhanialem high school 
open monday - monday from 8am until midnight ከሰኞ - እስከ ሰኞ  ከጧቱ 2:00 ስዓት - እስከ ምሽቱ 6:00 ሰዓት
🏍🏍🏍 የትራንስፖርት አማራጭ ከ70 - 200 ብር
for delivery option fees are from 70 birr - 200 birr",2024-10-10 14:47:05+00:00,photos\@lobelia4cosmetics_12403.jpg
lobelia pharmacy and cosmetics,@lobelia4cosmetics,12402,"olay vitamin c cream 
price 4000 birr 
telegram https://t.me/lobelia4cosmetics
msg👉 lobelia pharmacy and cosmetics 
☎️ call 0911562031/0911587703
adress:- infront of bole medhanialem high school 
open monday - monday from 8am until midnight ከሰኞ - እስከ ሰኞ  ከጧቱ 2:00 ስዓት - እስከ ምሽቱ 6:00 ሰዓት
🏍🏍🏍 የትራንስፖርት አማራጭ ከ70 - 200 ብር
for delivery option fees are from 70 birr - 200 birr",2024-10-10 14:47:05+00:00,photos\@lobelia4cosmetics_12402.jpg
lobelia pharmacy and cosmetics,@lobelia4cosmetics,12401,"sulfur8 205g
price 3000 birr 
telegram https://t.me/lobelia4cosmetics
msg👉 lobelia pharmacy and cosmetics 
☎️ call 0911562031/0911587703
adress:- infront of bole medhanialem high school 
open monday - monday from 8am until midnight ከሰኞ - እስከ ሰኞ  ከጧቱ 2:00 ስዓት - እስከ ምሽቱ 6:00 ሰዓት
🏍🏍🏍 የትራንስፖርት አማራጭ ከ70 - 200 ብር
for delivery option fees are from 70 birr - 200 birr",2024-10-10 14:47:05+00:00,photos\@lobelia4cosmetics_12401.jpg
